user_id,event_dt,revenue,item
df0f3327-381,2020-04-01 05:16:29,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
df0f3327-381,2020-04-02 18:32:34,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
241cb8694b53,2020-04-02 01:04:57,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0c9453440c85,2020-04-02 11:36:41,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
96-4377d99ca,2020-04-02 23:28:18,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
926d653_fd4a,2020-04-03 08:23:27,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8d5-44-0814d,2020-04-03 08:38:54,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c60360dd52_c,2020-04-03 07:18:11,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
35_484421-_4,2020-04-03 12:20:18,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0761c79cc1d6,2020-04-03 17:40:55,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d9082b279fb-,2020-04-03 17:10:30,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
86_17d89b08-,2020-04-03 06:51:16,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
53_8533f697c,2020-04-03 16:08:51,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
6a084897_14c,2020-04-03 14:11:23,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d_42bc99715d,2020-04-03 00:37:47,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
b1f1a8df_c_7,2020-04-03 19:59:50,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d129__9bd821,2020-04-04 15:11:58,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
df0f3327-381,2020-04-04 13:33:57,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
9-64-32-4d58,2020-04-04 22:15:43,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7da_62c08c83,2020-04-04 19:41:07,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c60360dd52_c,2020-04-04 22:08:42,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d9082b279fb-,2020-04-04 05:43:43,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
6a084897_14c,2020-04-04 07:23:48,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
a_17172c---5,2020-04-04 19:34:11,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
cf356c8c270c,2020-04-04 06:30:22,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c727fd7cc667,2020-04-04 14:34:36,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
11345d93_-9-,2020-04-04 15:10:57,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
4c6042c88b3b,2020-04-05 17:55:59,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d_42bc99715d,2020-04-05 18:53:26,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
a_17172c---5,2020-04-05 23:35:25,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
b1f1a8df_c_7,2020-04-05 05:02:38,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
--6968ca-40d,2020-04-05 08:40:25,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c727fd7cc667,2020-04-05 18:14:14,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
37b2d44889bb,2020-04-05 04:58:54,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
2479d-a-1--b,2020-04-05 00:52:40,1.5,20 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
4932a051-6_2,2020-04-05 18:10:38,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
30b98b36_369,2020-04-05 20:32:01,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
df0f3327-381,2020-04-06 16:49:08,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
926d653_fd4a,2020-04-06 14:31:39,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
_a341f877caf,2020-04-06 07:25:21,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-4c86aa5732-,2020-04-06 17:42:48,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
b1f1a8df_c_7,2020-04-06 12:34:57,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
3f94090-0df0,2020-04-06 02:21:53,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8-7b70310913,2020-04-06 12:56:17,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
241cb8694b53,2020-04-07 04:16:19,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0b31dc55b4__,2020-04-07 23:53:47,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0761c79cc1d6,2020-04-07 07:30:58,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
86_17d89b08-,2020-04-07 19:41:48,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
53_8533f697c,2020-04-07 20:59:11,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
ac697ff23_7c,2020-04-07 15:36:16,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
4b0fa428cafa,2020-04-07 21:00:30,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7850778124a1,2020-04-07 20:50:39,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8-7b70310913,2020-04-07 18:36:29,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
72129a-69_95,2020-04-07 07:48:25,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
f5867d-526db,2020-04-07 12:55:46,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c-5976-58f-7,2020-04-07 02:13:53,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
9-64-32-4d58,2020-04-08 18:54:10,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-4c86aa5732-,2020-04-08 16:01:09,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d9082b279fb-,2020-04-08 23:45:46,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
--6968ca-40d,2020-04-08 19:48:14,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
_3afb1-3d18f,2020-04-08 20:39:34,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8-7b70310913,2020-04-08 21:05:03,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
6ad6c5-6-2-a,2020-04-08 18:49:50,3.0,РЇС‰РёРє СЃСЋСЂРїСЂРёР·РѕРј
_c500404cac9,2020-04-08 00:46:16,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
72129a-69_95,2020-04-08 00:54:28,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c-5976-58f-7,2020-04-08 13:04:24,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7b54bdf4-64-,2020-04-09 05:37:09,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c727fd7cc667,2020-04-09 08:02:01,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
37b2d44889bb,2020-04-09 14:37:51,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
4b0fa428cafa,2020-04-09 05:18:22,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7850778124a1,2020-04-09 10:37:50,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8-7b70310913,2020-04-09 12:23:20,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
f5867d-526db,2020-04-09 07:23:48,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d66199666c5_,2020-04-09 06:15:15,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7a3_--0d4130,2020-04-09 18:47:13,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
50a470_6471c,2020-04-09 12:32:47,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-c5--74dd9_f,2020-04-09 23:04:21,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
926d653_fd4a,2020-04-10 04:10:44,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7da_62c08c83,2020-04-10 17:37:09,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0c9453440c85,2020-04-10 00:33:26,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0b31dc55b4__,2020-04-10 03:52:53,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-4c86aa5732-,2020-04-10 13:52:13,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
86_17d89b08-,2020-04-10 08:57:18,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
2250aaf0-9ff,2020-04-10 19:10:54,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
3f94090-0df0,2020-04-10 18:02:51,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
6ad6c5-6-2-a,2020-04-10 07:42:37,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
2fc0a9f8ad_0,2020-04-10 00:47:08,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
2b96c03fd4d5,2020-04-10 14:23:06,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-545_-_38-89,2020-04-10 08:31:22,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d73459ffa7ff,2020-04-10 03:04:56,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-c5--74dd9_f,2020-04-10 02:13:12,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
36c-705d34a5,2020-04-10 18:45:11,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
6-2276db_87b,2020-04-10 00:18:57,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
fa239dbb3-dd,2020-04-10 19:35:16,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
101-2dd7b2_1,2020-04-10 03:04:40,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d129__9bd821,2020-04-11 08:49:05,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0b31dc55b4__,2020-04-11 11:12:06,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
86_17d89b08-,2020-04-11 10:03:17,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
f25f9b55b1-5,2020-04-11 17:32:18,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
3f94090-0df0,2020-04-11 01:52:03,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
_c500404cac9,2020-04-11 18:28:51,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
9d617_a0_5-3,2020-04-11 12:43:15,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
6-2276db_87b,2020-04-11 22:40:50,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
75b08_0d_68f,2020-04-11 22:50:39,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
a7d2a4d8bb22,2020-04-11 02:38:47,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
9503f0b3cb67,2020-04-11 17:19:38,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
84_f779141-d,2020-04-11 22:13:54,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8f_761-5b-89,2020-04-11 05:43:56,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
9416fac1b3a0,2020-04-11 18:32:17,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c5f0b9d216b0,2020-04-11 15:43:16,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
54-1380a3262,2020-04-11 21:49:25,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
_a341f877caf,2020-04-12 01:20:52,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
241cb8694b53,2020-04-12 11:07:17,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
35_484421-_4,2020-04-12 23:03:18,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
53_8533f697c,2020-04-12 08:48:00,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d_42bc99715d,2020-04-12 00:18:26,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
ac697ff23_7c,2020-04-12 13:31:27,10.0,РњРµРіР°-РїР°Рє
cf356c8c270c,2020-04-12 17:14:53,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
2479d-a-1--b,2020-04-12 21:44:12,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8-7b70310913,2020-04-12 02:29:54,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
f5867d-526db,2020-04-12 00:15:11,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c-5976-58f-7,2020-04-12 21:00:30,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
2b96c03fd4d5,2020-04-12 02:17:41,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-545_-_38-89,2020-04-12 08:06:54,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d73459ffa7ff,2020-04-12 04:06:01,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
d66199666c5_,2020-04-12 15:00:09,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7401fcc764a5,2020-04-12 00:43:25,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
101-2dd7b2_1,2020-04-12 15:33:13,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
68a_239a73b8,2020-04-12 20:44:12,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
9503f0b3cb67,2020-04-12 00:53:30,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
c5f0b9d216b0,2020-04-12 16:30:28,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
7574_72_545d,2020-04-12 04:55:28,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-446d6c32_87,2020-04-12 11:59:26,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8d__71fb4_2a,2020-04-12 11:32:47,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
83526f3-2b98,2020-04-13 03:06:15,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
0c9453440c85,2020-04-13 01:41:46,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
35_484421-_4,2020-04-13 11:11:50,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
b1f1a8df_c_7,2020-04-13 09:34:55,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
-b8c8db15c8a,2020-04-13 03:35:17,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
6-2276db_87b,2020-04-13 19:27:34,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
75b08_0d_68f,2020-04-13 23:43:20,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
a7d2a4d8bb22,2020-04-13 07:17:07,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
9503f0b3cb67,2020-04-13 02:11:07,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
8d__71fb4_2a,2020-04-13 05:04:27,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
aaf500_fc817,2020-04-13 03:30:43,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
ad031850cc67,2020-04-13 06:40:31,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
25d52a156bcc,2020-04-13 05:56:39,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
44a52-aad805,2020-04-13 13:58:20,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
aa68f--adf-f,2020-04-13 18:51:26,1.0,10 Р·РѕР»РѕС‚С‹С… РјРѕРЅРµС‚
