user_id,dt,region,device,acq_channel
-152afc2b288,2020-05-01,North America,iPhone,GameAds
f89bf8_-b02a,2020-05-01,Europe,iPhone,GameAds
949cd6682_a8,2020-05-01,Africa,iPhone,SenseAds
358ba3d0f-a2,2020-05-01,CN,iPhone,GameAds
f996bf887511,2020-05-01,CIS,iPhone,GameAds
a0017_cd9453,2020-05-01,North America,iPhone,GameAds
2d174a_48f68,2020-05-01,North America,iPhone,GameAds
afd-3b8_2c2b,2020-05-01,CIS,iPhone,SenseAds
0b94c80c8c_6,2020-05-01,CN,iPhone,GameAds
495b5-455555,2020-05-01,CN,iPhone,GameAds
85108a0c3-b7,2020-05-01,SEA,iPhone,GameAds
_4a8f701-980,2020-05-01,North America,iPhone,GameAds
9_9f96b131d7,2020-05-01,North America,iPhone,GameAds
10ab_-_-f0b3,2020-05-01,North America,iPhone,SenseAds
1a497-3f19c1,2020-05-01,North America,iPhone,GameAds
3_b27f10543a,2020-05-01,South America,iPhone,GameAds
_33c6cc-f1f4,2020-05-01,North America,iPhone,GameAds
c923df-a_2_5,2020-05-01,Europe,iPhone,GameAds
aa2_4a6c1a-6,2020-05-01,Europe,iPhone,SenseAds
6adaff15-710,2020-05-01,South America,iPhone,SenseAds
6f93060d0ab-,2020-05-01,CIS,iPhone,SenseAds
ccd884f-1f97,2020-05-01,North America,iPhone,GameAds
8a_2896a3665,2020-05-01,Europe,iPhone,GameAds
-3fa29fb8a21,2020-05-01,North America,iPhone,SenseAds
276cd-222f_2,2020-05-01,Australia,iPhone,GameAds
08f9cff78cb-,2020-05-01,Africa,iPhone,GameAds
0995d9__8_f4,2020-05-01,Europe,iPhone,GameAds
510dd239280f,2020-05-01,Europe,iPhone,GameAds
58dbaba6-1f0,2020-05-01,Europe,iPhone,GameAds
abaadf28cf34,2020-05-01,North America,iPhone,GameAds
-bc1c-44-b5-,2020-05-01,Europe,iPhone,SenseAds
15_09d218875,2020-05-01,CN,iPhone,GameAds
d739b92aab1a,2020-05-01,North America,iPhone,GameAds
-a1-536bd46b,2020-05-01,North America,iPhone,GameAds
f4bf7c0-324f,2020-05-01,CN,iPhone,GameAds
1b55f2f66f90,2020-05-01,North America,iPhone,GameAds
_62-6a7-d185,2020-05-01,CIS,iPhone,GameAds
16c0b4_3bacd,2020-05-01,CIS,iPhone,GameAds
21a-f_2973a5,2020-05-01,Europe,iPhone,SenseAds
7d563_cd257a,2020-05-01,North America,iPhone,SenseAds
7_f-48abfdc7,2020-05-01,North America,iPhone,GameAds
f91b58016c2f,2020-05-01,North America,iPhone,GameAds
